Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
BNT_Naive_14_Day0,0,0.0574706222694483,0,0.0537755586968778,0.0879884288263538,0.0463121225887169,0.0353581437968645,0,0,0,0.0528818881826307,0,0,0,0.00141696644544251,0.0280602867128189,0.00382762260592688,0,0.0276892617402137,0,0,0.605219098134706,0,0.761169004107032,0.64985766792243
BNT_Naive_14_Day11,0.0225540288998926,0.019060634932532,0,0.0570696633781051,0.06535079946979,0.0723179372190851,0.0456557802113654,0,0,0,0.0687649486594484,0,0,0,0.00125934452626201,0.0420316451231297,0.00372374989920983,0,0.0272213756991076,0,0,0.574990091982072,0,0.760677051741811,0.651153073963421
BNT_Naive_14_Day40,0.0175015242063804,0.00919063103309784,0.00110245118551455,0.0596427395228137,0.0278786558413944,0,0.0266141999043682,0,0,0,0.172695544573167,0,0.140671428378053,0,0,0.00754146063640787,0,0,0.0288158924653363,0,0,0.508345472253466,0,0.783099108437646,0.626422985965741
BNT_Naive_14_Day41,0.0236725151705285,0.0248548793603415,4.57279744079251e-05,0.0574720179544605,0.0588340384865714,0,0.0380418814672101,0.00204985554820044,0,0,0.0637613962034502,0,0.10799494704108,0,0.00149505992062612,0.0418048492106782,0.00535729625506832,0,0.0391724318245382,0,0,0.535443103582838,0,0.78236041997559,0.626916764187462
BNT_Naive_14_Day48,0.0280659527219175,0.0255221987966262,0,0.0744810914515291,0.0354691337970892,0.0236393459178242,0.0123856778404648,0.00178602874501034,0.00323297145778135,0.0100181720143333,0.13205606497145,0,0.127652401868973,0,0,0.00687606161257654,0,0,0.00993049403701387,0,0,0.508884404767411,0,0.758734960126592,0.654299710390436
BNT_Naive_1_Day0,0.0192090943381449,0.0421256494560074,0,0.0332956247640657,0.12858598831549,0.0300552841301634,0.0500738101332427,0,0,0,0.0205485301399138,0.00571874922233426,0,0,0.000750709818312784,0.0443176433363525,0.00516023019808685,0.00133639727115504,0.0528031674660786,0,0,0.566019121410652,0,0.700326429818864,0.714353618430364
BNT_Naive_1_Day10,0.0218490766213143,0.00849312327972921,0,0.00178472237164912,0.136496013356389,0.0999611644158293,0.0433092502679506,0,0,0,0.0644298389547647,0,0.0167457432137976,0,0,0.00757292146417294,0,0,0.0133137850772546,0,0,0.586044360977149,0,0.750846925685155,0.661363284283692
BNT_Naive_1_Day34,0.0121964575897241,0.0272617529405613,0,0.0249436999393552,0.107296977335791,0.0404908668277215,0.0284778071181615,0.0125722871570004,0.00220662873045036,0.00710848320926531,0.064540910698255,0.00504581697772346,0.0952855542611225,0,0,0.00665599083016582,0,0,0.0259430503716858,0,0,0.539973716013017,0,0.782429143436271,0.626546281601248
BNT_Naive_1_Day35,0.000463640395302927,0.0439759224016704,0,0.0596219354318943,0.0568657496331401,0.00748713659464117,0.0118992732024126,0,0.0235679696582729,0,0.0426193069288084,0.0235954229928026,0.0364898384091882,0,0,0.0336969847107823,0.00748113962095651,0,0.0281847977149552,0,0,0.624050882305172,0,0.797478500884774,0.605414249694795
BNT_Naive_1_Day41,0.0268163431315559,0.0145426971698859,0,0.033934803114299,0.109365943111555,0.00154623387426535,0.0283262792006722,0,0.00984708230440531,0.00745248037198413,0.0331214591141336,0.000903818827141372,0.0103784099931196,0,0.00133019318620137,0.0425250655788304,0.00486567805028912,0,0.0426230900539202,0,0,0.632420422917741,0,0.770500708945971,0.639084967936745
